Year;Month;Region;Total Rainfall (mm)
2012;July;Hafr Elbatten;0.0
2012;July;Rafha;0.0
2012;August;Hafr Elbatten;0.0
2012;August;Madinah;0.0
2012;August;Taif;2.0
2012;August;Tabuk;0.0
2012;September;Khamis Mushait;1.0
2012;September;Turaif;0.0
2012;September;Taif;0.0
2012;September;Dhahran;0.0
2012;September;Jeddah KAIA;0.0
2012;October;Arar;1.0
2012;October;Wejh;0.0
2012;October;Makkah;0.0
2012;October;Dhahran;0.0
2012;October;Jizan;1.4
2012;November;Arar;0.0
2012;November;Hail;2.7
2012;November;Al-Ahsa;0.0
2012;November;Sulayel;2.4
2012;November;Taif;4.3
2012;November;Al-Jouf;1.0
2012;November;Jeddah KAIA;3.5
2012;November;Qassim;32.9
2012;November;Tabuk;1.1
2012;December;Khamis Mushait;0.0
2012;December;Abha;0.0
2012;December;Dmmam;9.2
2012;December;Bisha;1.0
2012;December;Turaif;0.0
2012;December;Taif;6.1
2012;December;Najran;1.0
2012;December;Riyadh New;20.1
2012;December;Qaisumah;39.3
2013;January;Arar;19.5
2013;January;Khamis Mushait;0.0
2013;January;Wejh;9.5
2013;January;Jizan;59.8
2013;January;Qaisumah;2.6
2013;February;Arar;3.6
2013;February;Abha;0.0
2013;February;Bisha;0.0
2013;February;Sulayel;0.0
2013;February;Jizan;0.0
2013;February;Tabuk;5.5
2013;March;Khamis Mushait;15.7
2013;March;Abha;35.6
2013;March;Turaif;1.5
2013;March;Najran;13.0
2013;March;Sharorah;6.4
2013;April;Madinah;20.0
2013;April;Al-Jouf;0.0
2013;April;Sharorah;10.0
2013;May;Najran;5.2
2013;June;Madinah;0.0
2013;June;Bisha;0.0
2013;June;Taif;0.0
2013;June;Rafha;0.0
2013;June;Al-Jouf;0.0
2013;June;Tabuk;0.0
2013;July;Hail;0.0
2013;July;Makkah;0.0
2013;July;Bisha;0.0
2013;July;Taif;0.0
2013;July;Jizan;14.0
2013;July;Najran;0.0
2013;July;Jeddah KAIA;0.0
2013;August;Khamis Mushait;6.3
2013;August;Makkah;14.0
2013;August;Sulayel;0.0
2013;August;Dhahran;0.0
2013;August;Jizan;31.0
2013;September;Al-Ahsa;0.0
2013;September;Yenbo;0.0
2013;September;Dmmam;0.0
2013;September;Madinah;0.0
2013;September;Sulayel;0.0
2013;September;Dhahran;0.0
2013;September;Najran;2.0
2013;September;Jeddah KAIA;0.0
2013;September;Riyadh New;0.0
2013;September;Qaisumah;0.0
2013;October;Hail;14.1
2013;October;Al-Ahsa;0.0
2013;October;Yenbo;5.0
2013;October;Rafha;17.1
2013;October;Al-Baha;0.0
2013;November;Hail;28.0
2013;November;Bisha;20.2
2013;December;Hail;2.1
2013;December;Makkah;1.5
2013;December;Al-Jouf;12.3
2014;January;Arar;7.3
2014;January;Makkah;10.6
2014;January;Turaif;9.8
2014;January;Taif;25.8
2014;January;Jizan;0.0
2014;January;Najran;0.0
2014;January;Sharorah;0.0
2014;February;Arar;2.1
2014;February;Bisha;0.0
2014;February;Dhahran;5.8
2014;February;Al-Jouf;0.0
2014;March;Makkah;0.0
2014;March;Turaif;17.2
2014;March;Dhahran;8.6
2014;April;Arar;10.1
2014;April;Hail;4.4
2014;April;Madinah;8.5
2014;April;Tabuk;0.0
2014;May;Hail;2.3
2014;May;Khamis Mushait;15.9
2014;May;Guriat;14.0
2014;May;Bisha;12.3
2014;May;Turaif;29.7
2014;May;Taif;13.6
2014;May;Sharorah;0.0
2014;June;Hail;0.0
2014;June;Dmmam;0.0
2014;June;Qassim;0.0
2014;June;Riyadh New;0.0
2014;June;Tabuk;0.0
2014;July;Khamis Mushait;1.5
2014;July;Al-Ahsa;0.0
2014;July;Dmmam;0.0
2014;July;Sulayel;0.0
2014;July;Qassim;0.0
2014;July;Qaisumah;0.0
2014;August;Abha;0.0
2014;August;Turaif;0.0
2014;August;Al-Jouf;0.0
2014;August;Riyadh New;0.0
2014;September;Hail;0.0
2014;September;Turaif;0.0
2014;September;Rafha;0.0
2014;September;Qassim;0.0
2014;October;Abha;0.0
2014;November;Arar;3.8
2014;November;Guriat;0.0
2014;November;Bisha;1.7
2014;November;Al-Jouf;0.0
2014;December;Guriat;14.0
2014;December;Bisha;0.0
2014;December;Jizan;9.0
2014;December;Al-Baha;0.0
2015;January;Taif;0.0
2015;January;Al-Baha;0.0
2015;February;Arar;0.001
2015;February;Taif;0.0
2015;February;Rafha;2.2
2015;February;Qassim;0.0
2015;March;Yenbo;0.0
2015;March;Guriat;0.001
2015;April;Hail;0.001
2015;April;Makkah;0.0
2015;April;Jeddah KAIA;0.001
2015;May;Yenbo;0.0
2015;May;Makkah;0.0
2015;May;Rafha;0.001
2015;May;Qassim;0.0
2015;May;Riyadh New;2.0
2015;June;Hail;0.0
2015;June;Khamis Mushait;0.0
2015;June;Madinah;1.8
2015;June;Bisha;0.0
2015;June;Qassim;0.0
2015;July;Al-Ahsa;0.0
2015;July;Abha;19.3
2015;July;Makkah;0.0
2015;July;Turaif;0.0
2015;July;Jizan;0.0
2015;July;Jeddah KAIA;0.0
2015;July;Qaisumah;0.0
2015;July;Al-Baha;2.5
2015;August;Hail;0.001
2015;August;Al-Ahsa;0.0
2015;August;Yenbo;2.0
2015;August;Abha;42.0
2015;August;Madinah;5.7
2015;August;Wadi Aldawasir;0.0
2015;August;Jizan;12.5
2015;August;Qassim;0.0
2015;August;Al-Baha;24.1
2015;September;Arar;0.0
2015;September;Abha;1.0
2015;September;Makkah;41.4
2015;September;Bisha;0.0
2015;September;Rafha;0.0
2015;September;Al-Jouf;0.001
2015;September;Qaisumah;0.0
2015;October;Arar;3.5
2015;October;Yenbo;2.7
2015;October;Madinah;0.001
2015;October;Jizan;2.7
2015;October;Al-Jouf;7.6
2015;October;Tabuk;10.2
2015;November;Wejh;36.6
2015;November;Madinah;12.0
2015;November;Bisha;0.0
2015;November;Turaif;28.1
2015;November;Al-Jouf;9.8
2015;November;Sharorah;2.9
2015;November;Jeddah KAIA;21.5
2015;November;Al-Baha;0.001
2015;December;Madinah;6.2
2015;December;Bisha;2.6
2015;December;Turaif;11.7
2015;December;Taif;6.9
2015;December;Jeddah KAIA;8.5
2015;December;Qassim;33.5
2015;December;Riyadh New;11.2
2016;January;Yenbo;0.0
2016;January;Guriat;0.001
2016;January;Taif;18.5
2016;January;Qassim;0.001
2016;January;Tabuk;0.0
2016;February;Al-Ahsa;4.1
2016;February;Bisha;0.001
2016;February;Wadi Aldawasir;1.4
2016;February;Najran;5.0
2016;February;Sharorah;0.0
2016;March;Abha;0.001
2016;March;Guriat;30.7
2016;March;Bisha;3.0
2016;March;Turaif;29.5
2016;March;Wadi Aldawasir;5.0
2016;March;Jeddah KAIA;0.0
2016;March;Tabuk;26.3
2016;March;Qaisumah;16.1
2016;April;Khamis Mushait;180.1
2016;April;Abha;243.9
2016;April;Najran;75.4
2016;May;Yenbo;0.0
2016;May;Bisha;1.2
2016;June;Hail;0.0
2016;June;Guriat;0.0
2016;June;Dmmam;0.0
2016;June;Wadi Aldawasir;0.0
2016;June;Jizan;0.0
2016;June;Najran;0.0
2016;June;Rafha;0.0
2016;June;Sharorah;0.0
2016;July;Yenbo;0.0
2016;July;Makkah;0.0
2016;July;Al-Jouf;0.0
2016;July;Tabuk;0.0
2016;July;Qaisumah;0.0
2016;August;Rafha;0.0
2016;August;Jeddah KAIA;0.0
2016;August;Qaisumah;0.0
2016;September;Wejh;0.0
2016;September;Abha;7.0
2016;September;Turaif;0.0
2016;October;Abha;0.0
2016;October;Sharorah;0.0
2016;October;Riyadh New;0.0
2016;October;Al-Baha;0.0
2016;November;Al-Ahsa;67.4
2016;November;Abha;10.2
2016;November;Taif;7.2
2016;November;Jizan;0.0
2016;November;Al-Jouf;4.0
2016;December;Taif;0.0
2016;December;Al-Jouf;4.0
2017;January;Guriat;0.0
2017;January;Dmmam;0.001
2017;January;Jizan;0.0
2017;January;Qassim;0.0
2017;January;Al-Baha;0.0
2017;February;Bisha;0.001
2017;February;Najran;0.001
2017;February;Rafha;0.0
2017;February;Al-Jouf;10.0
2017;February;Sharorah;0.0
2017;February;Riyadh New;0.001
2017;March;Sharorah;0.0
2017;March;Qaisumah;0.0
2017;April;Yenbo;0.0
2017;April;Guriat;0.0
2017;April;Wadi Aldawasir;0.001
2017;April;Najran;10.8
2017;April;Tabuk;5.4
2017;April;Qaisumah;17.0
2017;May;Turaif;0.0
2017;May;Riyadh New;1.6
2017;May;Al-Baha;5.7
2017;June;Arar;23.4
2017;June;Hail;0.0
2017;June;Madinah;0.0
2017;June;Bisha;9.7
2017;June;Turaif;0.001
2017;June;Jizan;1.6
2017;June;Rafha;0.0
2017;July;Arar;7.5
2017;July;Guriat;18.1
2017;July;Taif;0.0
2017;July;Rafha;0.0
2017;July;Qassim;0.0
2017;August;Wejh;0.0
2017;August;Al-Ahsa;0.0
2017;August;Jizan;0.001
2017;August;Al-Jouf;0.001
2017;August;Sharorah;0.0
2017;August;Qaisumah;0.0
2017;September;Guriat;0.0
2017;September;Dmmam;1.1
2017;September;Bisha;0.001
2017;September;Turaif;0.0
2017;September;Rafha;0.001
2017;September;Qassim;3.0
2017;September;Tabuk;0.001
2017;October;Arar;0.0
2017;October;Wejh;0.0
2017;October;Turaif;1.1
2017;October;Sharorah;0.001
2017;October;Qassim;0.0
2017;November;Arar;2.2
2017;November;Wejh;0.0
2017;November;Al-Ahsa;0.0
2017;November;Al-Jouf;0.001
2017;December;Khamis Mushait;13.4
2017;December;Wejh;0.0
2017;December;Yenbo;17.0
2017;December;Abha;0.0
2017;December;Taif;0.0
2017;December;Rafha;18.5
2017;December;Al-Jouf;108.3
2017;December;Al-Baha;167.5
2018;January;Al-Jouf;1.6
2018;February;Yenbo;4.6
2018;February;Guriat;19.8
2018;February;Taif;2.9
2018;February;Wadi Aldawasir;0.001
2018;February;Al-Jouf;18.1
2018;February;Sharorah;3.6
2018;February;Riyadh New;7.2
2018;February;Al-Baha;4.3
2018;March;Yenbo;0.0
2018;March;Dmmam;0.0
2018;March;Al-Jouf;0.0
2018;April;Abha;84.2
2018;April;Guriat;3.1
2018;April;Najran;52.9
2018;April;Jeddah KAIA;0.0
2018;May;Hail;16.6
2018;May;Wejh;0.001
2018;May;Abha;25.6
2018;May;Makkah;1.5
2018;May;Wadi Aldawasir;0.0
2018;May;Najran;6.3
2018;May;Rafha;14.5
2018;May;Sharorah;0.0
2018;May;Qassim;18.2
2018;May;Riyadh New;0.001
2018;June;Hail;0.0
2018;June;Khamis Mushait;4.0
2018;July;Abha;38.7
2018;July;Madinah;0.0
2018;July;Tabuk;0.0
2018;July;Al-Baha;0.001
2018;August;Madinah;0.0
2018;August;Wadi Aldawasir;0.0
2018;August;Sharorah;0.001
2018;September;Hail;0.001
2018;September;Wejh;0.0
2018;September;Guriat;0.0
2018;September;Jizan;30.0
2018;September;Najran;0.0
2018;September;Rafha;0.0
2018;September;Qaisumah;0.0
2018;September;Al-Baha;0.0
2018;October;Madinah;25.3
2018;October;Makkah;90.9
2018;October;Bisha;17.0
2018;October;Taif;70.9
2018;October;Najran;11.5
2018;October;Sharorah;2.0
2018;November;Khamis Mushait;2.5
2018;November;Najran;0.001
2018;November;Jeddah KAIA;70.8
2018;December;Dmmam;0.001
2018;December;Madinah;4.2
2018;December;Wadi Aldawasir;0.0
2018;December;Jizan;52.1
2018;December;Najran;0.0
2018;December;Rafha;43.0
2018;December;Qassim;7.6
2019;January;Arar;50.9
2019;January;Abha;0.0
2019;January;Madinah;52.1
2019;February;Hail;6.3
2019;February;Al-Ahsa;3.4
2019;February;Abha;2.0
2019;February;Makkah;1.0
2019;February;Taif;0.0
2019;February;Qassim;17.9
2019;March;Yenbo;0.0
2019;March;Guriat;4.7
2019;March;Dmmam;14.4
2019;March;Makkah;0.0
2019;March;Turaif;12.7
2019;March;Najran;0.0
2019;April;Khamis Mushait;7.4
2019;April;Al-Ahsa;29.2
2019;April;Abha;17.2
2019;April;Wadi Aldawasir;18.2
2019;April;Qassim;14.2
2019;May;Khamis Mushait;158.7
2019;May;Al-Ahsa;2.3
2019;May;Bisha;51.5
2019;May;Najran;16.4
2019;May;Sharorah;16.4
2019;June;Al-Ahsa;0.0
2019;June;Yenbo;0.0
2019;June;Abha;28.9
2019;June;Guriat;8.3
2019;June;Jizan;3.2
2019;June;Qaisumah;0.0
2019;July;Hail;0.0
2019;July;Abha;9.2
2019;July;Riyadh New;0.0
2019;July;Al-Baha;6.5
2019;August;Taif;0.0
2019;August;Al-Jouf;0.0
2019;September;Khamis Mushait;2.0
2019;September;Abha;1.8
2019;September;Jizan;6.1
2019;September;Najran;7.0
2019;September;Al-Jouf;0.0
2019;September;Sharorah;7.0
2019;September;Jeddah KAIA;0.0
2019;October;Hail;6.0
2019;October;Taif;10.4
2019;November;Abha;9.7
2019;November;Makkah;15.5
2019;November;Rafha;28.2
2019;November;Al-Jouf;8.9
2019;December;Arar;13.3
2019;December;Hail;2.5
2019;December;Wejh;0.0
2019;December;Yenbo;0.0
2019;December;Al-Jouf;6.6
2009;January;Khamis Mushait;4.8
2009;January;Madinah;0.0
2009;January;Taif;1.0
2009;January;Dhahran;4.2
2009;January;Rafha;1.0
2009;January;Riyadh New;0.0
2009;January;Tabuk;0.0
2009;January;Qaisumah;5.3
2009;February;Hail;1.0
2009;February;Turaif;0.0
2009;February;Rafha;4.2
2009;February;Tabuk;1.2
2009;March;Arar;1.2
2009;March;Khamis Mushait;1.0
2009;March;Yenbo;0.0
2009;March;Abha;2.0
2009;March;Sulayel;0.0
2009;March;Jizan;15.7
2009;April;Arar;3.1
2009;April;Bisha;1.0
2009;April;Sulayel;9.0
2009;April;Qassim;10.3
2009;April;Riyadh Old;23.2
2009;May;Arar;0.0
2009;May;Yenbo;1.6
2009;May;Abha;2.5
2009;May;Taif;55.4
2009;May;Dhahran;0.0
2009;May;Qassim;47.1
2009;May;Qaisumah;7.1
2009;May;Al-Baha;8.1
2009;June;Hafr Elbatten;0.0
2009;June;Al-Ahsa;0.0
2009;June;Guriat;0.0
2009;June;Bisha;0.0
2009;June;Rafha;0.0
2009;June;Al-Baha;1.0
2009;July;Taif;0.0
2009;July;Jizan;0.0
2009;July;Rafha;0.0
2009;July;Sharorah;0.0
2009;July;Riyadh New;0.0
2009;August;Khamis Mushait;3.4
2009;August;Hafr Elbatten;0.0
2009;August;Madinah;1.0
2009;August;Rafha;0.0
2009;August;Al-Baha;1.0
2009;September;Al-Ahsa;0.0
2009;September;Jizan;5.0
2009;September;Sharorah;0.0
2009;September;Tabuk;0.0
2009;September;Riyadh Old;0.0
2009;October;Qassim;0.0
2009;October;Tabuk;1.0
2009;November;Al-Ahsa;1.0
2009;November;Guriat;1.0
2009;November;Madinah;2.0
2009;November;Sharorah;0.0
2009;November;Riyadh Old;1.0
2009;November;Al-Baha;0.0
2009;December;Jizan;0.0
2009;December;Rafha;0.0
2009;December;Qassim;15.4
2009;December;Tabuk;1.0
2010;January;Arar;2.8
2010;January;Khamis Mushait;24.0
2010;January;Guriat;18.3
2010;January;Bisha;0.0
2010;January;Sulayel;1.0
2010;January;Sharorah;0.0
2010;January;Riyadh New;0.0
2010;February;Khamis Mushait;9.1
2010;February;Taif;14.2
2010;February;Dhahran;1.0
2010;February;Rafha;1.0
2010;February;Qassim;1.0
2010;March;Hail;35.5
2010;March;Yenbo;8.6
2010;March;Guriat;17.6
2010;March;Bisha;1.0
2010;March;Rafha;1.0
2010;March;Sharorah;0.0
2010;March;Qassim;1.0
2010;March;Riyadh Old;1.0
2010;April;Arar;17.5
2010;April;Hafr Elbatten;33.9
2010;April;Abha;22.4
2010;April;Madinah;9.9
2010;April;Bisha;31.5
2010;April;Turaif;18.6
2010;April;Sulayel;7.8
2010;April;Dhahran;10.2
2010;April;Rafha;24.2
2010;April;Jeddah KAIA;0.0
2010;April;Tabuk;1.0
2010;May;Hafr Elbatten;8.0
2010;May;Al-Ahsa;17.1
2010;May;Turaif;1.0
2010;May;Jizan;0.0
2010;May;Al-Jouf;5.2
2010;June;Arar;0.0
2010;June;Bisha;0.0
2010;June;Sulayel;1.0
2010;June;Al-Jouf;0.0
2010;July;Khamis Mushait;71.4
2010;July;Yenbo;0.0
2010;July;Abha;76.9
2010;July;Makkah;1.6
2010;July;Sulayel;0.0
2010;July;Taif;11.4
2010;July;Najran;1.0
2010;July;Qaisumah;0.0
2010;August;Wejh;1.0
2010;August;Hafr Elbatten;1.0
2010;August;Guriat;0.0
2010;August;Dmmam;0.0
2010;August;Qassim;0.0
2010;August;Riyadh Old;5.0
2010;September;Hail;0.0
2010;September;Hafr Elbatten;0.0
2010;September;Guriat;0.0
2010;September;Bisha;0.0
2010;September;Turaif;0.0
2010;September;Sulayel;0.0
2010;September;Dhahran;0.0
2010;September;Rafha;0.0
2010;September;Riyadh Old;0.0
2010;September;Al-Baha;2.0
2010;October;Wejh;0.0
2010;October;Madinah;0.0
2010;October;Makkah;0.0
2010;October;Jizan;25.3
2010;October;Rafha;1.0
2010;October;Jeddah KAIA;0.0
2010;October;Riyadh New;0.0
2010;October;Tabuk;0.0
2010;October;Qaisumah;0.0
2010;October;Al-Baha;0.0
2010;November;Hail;0.0
2010;November;Al-Ahsa;0.0
2010;November;Bisha;1.1
2010;November;Turaif;0.0
2010;November;Sulayel;0.0
2010;November;Jizan;0.0
2010;November;Sharorah;0.0
2010;November;Qassim;0.0
2010;December;Arar;5.9
2010;December;Khamis Mushait;0.0
2010;December;Wejh;95.0
2010;December;Hafr Elbatten;0.0
2010;December;Al-Jouf;7.0
2010;December;Sharorah;0.0
2010;December;Qassim;10.2
2010;December;Qaisumah;1.0
2010;December;Al-Baha;5.0
2011;January;Arar;14.8
2011;January;Wejh;0.0
2011;January;Abha;10.8
2011;January;Guriat;7.4
2011;January;Makkah;36.8
2011;January;Bisha;0.0
2011;January;Rafha;1.0
2011;January;Riyadh Old;51.6
2011;February;Khamis Mushait;1.0
2011;February;Wejh;0.0
2011;February;Abha;0.0
2011;February;Turaif;9.0
2011;February;Jeddah KAIA;0.0
2011;February;Qassim;0.0
2011;March;Arar;5.9
2011;March;Wejh;318.5
2011;March;Yenbo;1.0
2011;March;Abha;8.0
2011;March;Bisha;14.2
2011;March;Riyadh Old;13.3
2011;April;Yenbo;0.0
2011;April;Dmmam;27.7
2011;April;Bisha;16.8
2011;April;Taif;0.0
2011;April;Jizan;0.0
2011;April;Rafha;28.4
2011;April;Al-Jouf;11.9
2011;April;Riyadh Old;41.4
2011;May;Khamis Mushait;8.0
2011;May;Hafr Elbatten;4.0
2011;May;Al-Ahsa;33.2
2011;May;Yenbo;0.0
2011;May;Abha;4.5
2011;May;Guriat;1.0
2011;May;Bisha;6.4
2011;May;Al-Jouf;0.0
2011;May;Riyadh New;1.0
2011;May;Riyadh Old;1.0
2011;June;Madinah;1.0
2011;June;Turaif;1.0
2011;June;Dhahran;0.0
2011;June;Jizan;0.0
2011;June;Rafha;0.0
2011;June;Riyadh New;0.0
2011;July;Hafr Elbatten;0.0
2011;July;Yenbo;0.0
2011;July;Abha;18.5
2011;July;Guriat;0.0
2011;July;Najran;1.0
2011;July;Qassim;0.0
2011;July;Riyadh New;0.0
2011;August;Arar;0.0
2011;August;Turaif;0.0
2011;August;Jizan;41.0
2011;August;Najran;3.0
2011;August;Al-Jouf;0.0
2011;August;Jeddah KAIA;0.0
2011;August;Qassim;0.0
2011;August;Qaisumah;0.0
2011;September;Hail;0.0
2011;September;Khamis Mushait;27.0
2011;September;Jizan;1.0
2011;September;Rafha;0.0
2011;September;Jeddah KAIA;0.0
2011;September;Qaisumah;0.0
2011;September;Riyadh Old;0.0
2011;October;Arar;1.0
2011;October;Wejh;0.0
2011;October;Hafr Elbatten;0.0
2011;October;Turaif;0.0
2011;October;Taif;0.0
2011;October;Al-Jouf;1.0
2011;October;Riyadh Old;0.0
2011;November;Wejh;0.0
2011;November;Yenbo;0.0
2011;November;Abha;5.8
2011;November;Dmmam;45.3
2011;November;Makkah;0.0
2011;November;Turaif;0.0
2011;November;Rafha;1.0
2011;November;Qassim;51.6
2011;December;Arar;0.0
2011;December;Hail;0.0
2011;December;Guriat;4.9
2011;December;Jizan;0.0
2011;December;Al-Jouf;0.0
2011;December;Tabuk;0.0
2012;January;Dmmam;0.0
2012;January;Sulayel;0.0
2012;January;Riyadh New;0.0
2012;February;Turaif;25.2
2012;February;Sulayel;0.0
2012;February;Najran;0.0
2012;February;Al-Jouf;1.0
2012;March;Arar;1.0
2012;March;Khamis Mushait;1.0
2012;March;Yenbo;0.0
2012;March;Guriat;1.9
2012;March;Turaif;1.0
2012;March;Jizan;0.0
2012;March;Jeddah KAIA;0.0
2012;March;Tabuk;1.0
2012;April;Khamis Mushait;52.6
2012;April;Al-Ahsa;33.2
2012;April;Najran;57.0
2012;April;Jeddah KAIA;8.0
2012;May;Abha;1.0
2012;May;Madinah;1.0
2012;May;Sulayel;0.0
2012;May;Jizan;0.0
2012;May;Sharorah;0.0
2012;May;Qassim;2.2
2012;May;Al-Baha;16.9
2012;June;Hail;0.0
2012;June;Khamis Mushait;8.5
2012;June;Wejh;0.0
2012;June;Madinah;1.0
2012;June;Jeddah KAIA;0.0
2012;July;Khamis Mushait;9.4
2012;July;Al-Ahsa;0.0
2012;July;Makkah;0.0
2012;July;Qaisumah;0.0
2012;July;Al-Baha;11.9
2012;August;Arar;0.0
2012;August;Yenbo;0.0
2012;August;Jizan;2.0
2012;August;Najran;1.0
2012;September;Makkah;0.0
2012;September;Bisha;0.0
2012;September;Jizan;6.2
2012;September;Sharorah;16.0
2012;September;Riyadh New;0.0
2012;October;Abha;4.0
2012;October;Madinah;29.5
2012;October;Bisha;0.0
2012;October;Sulayel;0.0
2012;October;Najran;0.0
2012;October;Al-Jouf;0.0
2012;October;Qassim;0.0
2012;October;Riyadh New;1.2
2012;November;Wejh;1.0
2012;November;Guriat;1.0
2012;November;Turaif;1.0
2012;November;Jizan;16.5
2012;November;Sharorah;0.0
2012;November;Riyadh New;16.0
2012;December;Arar;5.0
2012;December;Guriat;0.0
2012;December;Al-Jouf;0.0
2012;December;Tabuk;1.0
2013;January;Hail;21.2
2013;January;Bisha;0.0
2013;January;Dhahran;1.5
2013;January;Rafha;29.0
2013;January;Tabuk;75.6
2013;February;Hafr Elbatten;15.0
2013;February;Madinah;0.0
2013;February;Makkah;0.0
2013;February;Taif;0.0
2013;February;Dhahran;5.6
2013;February;Rafha;1.2
2013;February;Al-Jouf;4.2
2013;February;Jeddah KAIA;0.0
2013;February;Qassim;0.0
2013;March;Makkah;0.0
2013;March;Bisha;14.6
2013;March;Rafha;5.7
2013;March;Qassim;5.9
2013;March;Qaisumah;35.1
2013;April;Hail;29.4
2013;April;Yenbo;0.0
2013;April;Makkah;1.5
2013;April;Bisha;64.9
2013;April;Sulayel;36.0
2013;April;Jizan;0.0
2013;April;Qassim;11.6
2013;April;Riyadh New;39.8
2013;May;Hail;2.2
2013;May;Wejh;0.0
2013;May;Hafr Elbatten;13.0
2013;May;Yenbo;0.0
2013;May;Guriat;5.1
2013;May;Bisha;97.3
2013;May;Taif;18.7
2013;May;Al-Jouf;4.0
2013;May;Sharorah;21.0
2013;June;Al-Ahsa;0.0
2013;June;Guriat;0.0
2013;June;Dmmam;0.0
2013;June;Dhahran;0.0
2013;June;Sharorah;0.0
2013;June;Jeddah KAIA;0.0
2013;July;Khamis Mushait;10.4
2013;July;Wejh;0.0
2013;July;Yenbo;0.0
2013;July;Sulayel;0.0
2013;July;Rafha;0.0
2013;July;Sharorah;10.0
2013;August;Al-Ahsa;0.0
2013;August;Madinah;1.1
2013;August;Sharorah;4.8
2013;August;Qassim;0.0
2013;September;Hail;0.0
2013;September;Turaif;0.0
2013;September;Rafha;0.0
2013;September;Qassim;0.0
2013;October;Khamis Mushait;0.0
2013;October;Wejh;0.0
2013;October;Guriat;0.0
2013;October;Dhahran;0.0
2013;October;Najran;0.0
2013;October;Al-Jouf;0.0
2013;October;Jeddah KAIA;0.0
2013;November;Khamis Mushait;15.9
2013;November;Abha;43.7
2013;November;Guriat;9.9
2013;November;Sulayel;3.0
2013;November;Dhahran;93.0
2013;December;Turaif;18.7
2013;December;Dhahran;1.2
2014;January;Yenbo;27.5
2014;January;Abha;4.4
2014;January;Madinah;38.4
2014;February;Khamis Mushait;1.5
2014;February;Makkah;1.9
2014;February;Turaif;3.2
2014;February;Sulayel;0.0
2014;February;Najran;0.0
2014;February;Tabuk;2.3
2014;March;Hail;30.6
2014;March;Guriat;21.5
2014;March;Rafha;31.9
2014;March;Al-Jouf;27.3
2014;March;Sharorah;11.1
2014;March;Al-Baha;7.2
2014;April;Wejh;0.0
2014;April;Guriat;0.0
2014;April;Dhahran;0.0
2014;April;Al-Jouf;13.6
2014;May;Jizan;0.0
2014;May;Najran;19.0
2014;May;Al-Jouf;3.0
2014;May;Qassim;0.0
2014;May;Al-Baha;10.9
2014;June;Wejh;0.0
2014;June;Taif;4.5
2014;June;Al-Jouf;3.1
2014;June;Sharorah;0.0
2014;July;Abha;23.5
2014;July;Guriat;0.0
2014;July;Jeddah KAIA;6.0
2014;August;Wejh;0.0
2014;August;Sharorah;0.0
2014;August;Qassim;0.0
2014;September;Khamis Mushait;3.6
2014;September;Wejh;0.0
2014;September;Yenbo;0.0
2014;September;Dmmam;0.0
2014;September;Makkah;0.0
2014;September;Jeddah KAIA;0.0
2014;September;Qaisumah;0.0
2014;September;Al-Baha;5.5
2014;October;Hail;4.2
2014;October;Guriat;3.8
2014;October;Turaif;3.5
2014;October;Najran;0.0
2014;October;Rafha;2.0
2014;October;Al-Jouf;6.7
2014;October;Sharorah;0.0
2014;November;Khamis Mushait;2.6
2014;November;Wejh;0.0
2014;November;Al-Ahsa;17.1
2014;November;Madinah;0.0
2014;November;Makkah;30.5
2014;November;Jizan;3.0
2014;November;Qassim;14.7
2014;November;Riyadh New;17.6
2014;December;Arar;12.5
2014;December;Makkah;4.0
2014;December;Sharorah;0.0
2015;January;Khamis Mushait;0.0
2015;January;Jizan;4.0
2015;January;Rafha;0.001
2015;January;Qassim;0.0
2015;January;Riyadh New;0.001
2015;February;Hail;0.001
2015;February;Wejh;4.9
2015;February;Al-Ahsa;0.0
2015;February;Yenbo;0.0
2015;February;Bisha;0.0
2015;February;Wadi Aldawasir;0.0
2015;February;Najran;0.0
2015;February;Sharorah;0.0
2015;February;Tabuk;2.4
2015;February;Al-Baha;0.0
2015;March;Arar;0.001
2015;March;Hail;1.8
2015;March;Abha;0.001
2015;March;Dmmam;21.0
2015;March;Qassim;8.4
2015;March;Tabuk;0.0
2015;April;Sharorah;0.0
2015;April;Qassim;3.4
2015;April;Tabuk;0.0
2015;May;Arar;0.0
2015;May;Khamis Mushait;9.6
2015;May;Al-Ahsa;1.4
2015;May;Sharorah;0.001
2015;June;Wejh;0.0
2015;June;Yenbo;0.0
2015;June;Abha;0.0
2015;June;Wadi Aldawasir;0.0
2015;June;Sharorah;0.0
2015;June;Jeddah KAIA;0.0
2015;July;Wejh;0.0
2015;July;Bisha;0.0
2015;July;Al-Jouf;0.0
2015;August;Rafha;0.001
2015;August;Sharorah;2.5
2015;August;Qaisumah;0.0
2015;September;Yenbo;0.0
2015;September;Guriat;0.0
2015;September;Najran;0.0
2015;September;Jeddah KAIA;0.001
2015;October;Dmmam;0.0
2015;October;Makkah;1.0
2015;October;Qassim;2.6
2015;October;Qaisumah;16.2
2015;November;Arar;17.4
2015;November;Hail;6.3
2015;November;Makkah;17.4
2015;November;Jizan;4.0
2015;November;Riyadh New;41.0
2015;December;Wejh;14.8
2015;December;Al-Ahsa;34.8
2015;December;Dmmam;36.1
2015;December;Najran;0.001
2015;December;Qaisumah;44.2
2016;January;Al-Ahsa;0.001
2016;January;Bisha;3.6
